日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-02,125.98,-0.25,37361136.0,0.83,-15211424.0,-0.34,52572560.0,1.16,22539488.0,0.5,-59900608.0,-1.32
2025-09-03,124.04,-1.54,-26997072.0,-0.7,-8384624.0,-0.22,-18612448.0,-0.48,-44199760.0,-1.14,71196832.0,1.83
2025-09-04,122.93,-0.89,-395042352.0,-12.02,-258645104.0,-7.87,-136397248.0,-4.15,167024448.0,5.08,228017888.0,6.94
2025-09-05,124.23,1.06,128148512.0,5.05,154021776.0,6.07,-25873264.0,-1.02,-27037552.0,-1.07,-101110960.0,-3.99
2025-09-08,126.51,1.84,202461616.0,5.16,71627600.0,1.83,130834016.0,3.33,-168520736.0,-4.29,-33940896.0,-0.87
2025-09-09,126.22,-0.23,-193444576.0,-8.17,-143170672.0,-6.05,-50273904.0,-2.12,30192448.0,1.27,163252128.0,6.89
2025-09-10,125.48,-0.59,19111696.0,0.74,-6284896.0,-0.24,25396592.0,0.99,-39001872.0,-1.52,19890192.0,0.78
2025-09-11,125.94,0.37,-83421856.0,-2.84,-67022560.0,-2.29,-16399296.0,-0.56,-24062992.0,-0.82,107484864.0,3.66
2025-09-12,124.61,-1.06,-382524176.0,-11.39,-360007504.0,-10.72,-22516672.0,-0.67,199623392.0,5.94,182900800.0,5.44
2025-09-15,124.07,-0.43,-28875712.0,-1.37,15735936.0,0.75,-44611648.0,-2.11,-21012112.0,-1.0,49887840.0,2.36
2025-09-16,123.22,-0.69,-323151216.0,-13.43,-180012848.0,-7.48,-143138368.0,-5.95,82078848.0,3.41,241072384.0,10.02
2025-09-17,123.38,0.13,-299462016.0,-13.16,-157794432.0,-6.93,-141667584.0,-6.22,89251808.0,3.92,210210208.0,9.24
2025-09-18,121.36,-1.64,-739184912.0,-21.53,-407798784.0,-11.88,-331386128.0,-9.65,178706256.0,5.2,560478656.0,16.32
2025-09-19,121.5,0.12,-132136992.0,-5.44,-26405520.0,-1.09,-105731472.0,-4.35,-45992192.0,-1.89,178129200.0,7.33
2025-09-22,119.92,-1.3,-355066256.0,-14.72,-127314016.0,-5.28,-227752240.0,-9.44,-18946144.0,-0.79,374012368.0,15.51
2025-09-23,119.61,-0.26,-332598028.0,-15.83,-137099852.0,-6.52,-195498176.0,-9.3,84133936.0,4.0,248464112.0,11.82
2025-09-24,119.79,0.15,-67057522.0,-4.2,-24644242.0,-1.54,-42413280.0,-2.65,19433488.0,1.22,47624048.0,2.98
2025-09-25,118.94,-0.71,-446835296.0,-18.84,-209891024.0,-8.85,-236944272.0,-9.99,131440048.0,5.54,315395264.0,13.3
2025-09-26,117.59,-1.14,-108430080.0,-3.44,-79325632.0,-2.51,-29104448.0,-0.92,207080576.0,6.56,-98650512.0,-3.13
2025-09-29,119.34,1.49,72571088.0,2.34,108477776.0,3.49,-35906688.0,-1.16,-126707888.0,-4.08,54136784.0,1.74
2025-09-30,118.9,-0.37,-112783536.0,-6.01,-42574336.0,-2.27,-70209200.0,-3.74,-19240048.0,-1.03,132023600.0,7.04
2025-10-09,118.58,-0.27,-150723472.0,-6.14,-118793856.0,-4.84,-31929616.0,-1.3,42854192.0,1.75,107869280.0,4.39
2025-10-10,118.15,-0.36,12632252.0,0.59,-13646660.0,-0.64,26278912.0,1.24,-9607504.0,-0.45,-3024720.0,-0.14
2025-10-13,117.27,-0.74,-121487408.0,-5.18,-193963904.0,-8.27,72476496.0,3.09,-12383872.0,-0.53,133871296.0,5.71
2025-10-14,119.49,1.89,325697040.0,9.19,211173008.0,5.96,114524032.0,3.23,-163376336.0,-4.61,-162320704.0,-4.58
2025-10-15,119.49,0.0,108407792.0,4.57,71101840.0,3.0,37305952.0,1.57,-35720688.0,-1.51,-72687104.0,-3.06
2025-10-16,120.16,0.56,87345552.0,3.6,-64714128.0,-2.67,152059680.0,6.26,5748352.0,0.24,-93093904.0,-3.84
2025-10-17,118.49,-1.39,-216064848.0,-9.83,-164752528.0,-7.5,-51312320.0,-2.34,82945344.0,3.78,133119504.0,6.06
2025-10-20,117.88,-0.51,-159691512.0,-10.05,-111037512.0,-6.99,-48654000.0,-3.06,50460688.0,3.18,109230832.0,6.87
2025-10-21,117.94,0.05,29158499.0,1.64,-30201309.0,-1.7,59359808.0,3.33,10108640.0,0.57,-39267152.0,-2.21
2025-10-22,117.52,-0.36,-149286428.0,-9.72,-87630556.0,-5.7,-61655872.0,-4.01,90639856.0,5.9,58646576.0,3.82
2025-10-23,118.75,1.05,122909664.0,6.54,50251328.0,2.67,72658336.0,3.87,-67745456.0,-3.6,-55164208.0,-2.94
2025-10-24,117.71,-0.88,-206376512.0,-9.83,-61474160.0,-2.93,-144902352.0,-6.9,57956640.0,2.76,148419872.0,7.07
2025-10-27,117.71,0.0,-75552448.0,-4.37,-44092384.0,-2.55,-31460064.0,-1.82,-1175184.0,-0.07,76727632.0,4.44
2025-10-28,117.52,-0.16,-152801486.0,-9.06,-162342158.0,-9.63,9540672.0,0.57,93628816.0,5.55,59172672.0,3.51
