日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-02,27.85,-2.93,-2890860800.0,-13.3,-2414966272.0,-11.11,-475894528.0,-2.19,1050721024.0,4.83,1840140112.0,8.46
2025-09-03,26.63,-4.38,-3482139392.0,-16.02,-3087456768.0,-14.2,-394682624.0,-1.82,1138577152.0,5.24,2343562512.0,10.78
2025-09-04,26.21,-1.58,-1474007552.0,-7.53,-1219503360.0,-6.23,-254504192.0,-1.3,568151552.0,2.9,905855872.0,4.63
2025-09-05,26.6,1.49,13615456.0,0.1,107578400.0,0.82,-93962944.0,-0.71,32620416.0,0.25,-46235872.0,-0.35
2025-09-08,26.42,-0.68,-971686496.0,-9.25,-804808160.0,-7.67,-166878336.0,-1.59,328824288.0,3.13,642862224.0,6.12
2025-09-09,26.19,-0.87,-578112656.0,-5.6,-462215440.0,-4.48,-115897216.0,-1.12,195291424.0,1.89,382821232.0,3.71
2025-09-10,26.19,0.0,-252396304.0,-3.06,44809136.0,0.54,-297205440.0,-3.61,-2489376.0,-0.03,254885680.0,3.09
2025-09-11,27.27,4.12,1057335040.0,5.59,610175488.0,3.23,447159552.0,2.36,-361427456.0,-1.91,-695907552.0,-3.68
2025-09-12,26.95,-1.17,-1200267376.0,-9.1,-965714288.0,-7.32,-234553088.0,-1.78,325800352.0,2.47,874466960.0,6.63
2025-09-15,27.21,0.96,264465280.0,2.13,288170144.0,2.33,-23704864.0,-0.19,-196353072.0,-1.58,-68112208.0,-0.55
2025-09-16,27.71,1.84,386926080.0,2.52,380356608.0,2.47,6569472.0,0.04,-34269984.0,-0.22,-352656016.0,-2.29
2025-09-17,28.21,1.8,704031744.0,3.69,208121856.0,1.09,495909888.0,2.6,4941824.0,0.03,-708973392.0,-3.72
2025-09-18,26.87,-4.75,-5027438336.0,-20.07,-4760486656.0,-19.0,-266951680.0,-1.07,1888891392.0,7.54,3138547344.0,12.53
2025-09-19,26.55,-1.19,-1456162400.0,-12.7,-1274624112.0,-11.11,-181538288.0,-1.58,470146800.0,4.1,986015632.0,8.6
2025-09-22,26.89,1.28,-75489200.0,-0.87,-59808416.0,-0.69,-15680784.0,-0.18,40768784.0,0.47,34720416.0,0.4
2025-09-23,26.12,-2.86,-1953863376.0,-13.91,-1751402640.0,-12.47,-202460736.0,-1.44,520741200.0,3.71,1433122096.0,10.2
2025-09-24,26.45,1.26,114566704.0,0.98,217410080.0,1.86,-102843376.0,-0.88,-68104544.0,-0.58,-46462160.0,-0.4
2025-09-25,26.47,0.08,-224670240.0,-2.35,-355702496.0,-3.73,131032256.0,1.37,14604240.0,0.15,210066000.0,2.2
2025-09-26,26.06,-1.55,-521741744.0,-6.54,-601669472.0,-7.54,79927728.0,1.0,267919424.0,3.36,253822336.0,3.18
2025-09-29,27.58,5.83,2992644608.0,9.88,2746413312.0,9.07,246231296.0,0.81,-959056128.0,-3.17,-2033588896.0,-6.72
2025-09-30,27.12,-1.67,-1624474992.0,-10.44,-1701387632.0,-10.93,76912640.0,0.49,568470160.0,3.65,1056004768.0,6.79
2025-10-09,26.76,-1.33,-988104960.0,-6.1,-718924288.0,-4.43,-269180672.0,-1.66,283284352.0,1.75,704820512.0,4.35
2025-10-10,26.09,-2.5,-2653874080.0,-16.6,-2008827808.0,-12.57,-645046272.0,-4.04,1170874048.0,7.32,1483000192.0,9.28
2025-10-13,25.62,-1.8,-953302896.0,-9.07,-773394960.0,-7.36,-179907936.0,-1.71,312672832.0,2.97,640630064.0,6.09
2025-10-14,25.16,-1.8,-1294186480.0,-12.16,-733640656.0,-6.89,-560545824.0,-5.27,475958496.0,4.47,818227952.0,7.69
2025-10-15,25.54,1.51,-53093408.0,-0.69,-174648784.0,-2.28,121555376.0,1.59,115926368.0,1.51,-62832960.0,-0.82
2025-10-16,25.42,-0.47,-337470144.0,-5.58,-154630848.0,-2.56,-182839296.0,-3.02,166316448.0,2.75,171153712.0,2.83
