日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-02,302.87,-0.37,-416332352.0,-3.69,-456371264.0,-4.04,40038912.0,0.35,261271520.0,2.31,155060832.0,1.37
2025-09-03,309.0,2.02,1691062128.0,10.81,1583124080.0,10.12,107938048.0,0.69,-584742000.0,-3.74,-1106320224.0,-7.07
2025-09-04,304.03,-1.61,34967040.0,0.17,-254591232.0,-1.25,289558272.0,1.42,117821440.0,0.58,-152788336.0,-0.75
2025-09-05,325.11,6.93,1209315328.0,5.39,1711917312.0,7.63,-502601984.0,-2.24,-495003392.0,-2.21,-714311600.0,-3.18
2025-09-08,325.37,0.08,-468087040.0,-2.42,-836879104.0,-4.33,368792064.0,1.91,439424512.0,2.27,28662528.0,0.15
2025-09-09,320.0,-1.65,-1789655152.0,-12.71,-1104878704.0,-7.84,-684776448.0,-4.86,702139744.0,4.98,1087515424.0,7.72
2025-09-10,316.04,-1.24,-948569728.0,-8.14,-937084880.0,-8.04,-11484848.0,-0.1,311552912.0,2.67,637016736.0,5.47
2025-09-11,322.55,2.06,25513280.0,0.21,129001280.0,1.07,-103488000.0,-0.86,82805168.0,0.69,-108318608.0,-0.9
2025-09-12,325.0,0.76,-104634720.0,-0.95,-344528848.0,-3.12,239894128.0,2.17,291713888.0,2.64,-187079184.0,-1.7
2025-09-15,354.7,9.14,336676352.0,1.32,-274091776.0,-1.07,610768128.0,2.39,-327196416.0,-1.28,-9479984.0,-0.04
2025-09-16,353.42,-0.36,-442730288.0,-3.32,-342344832.0,-2.57,-100385456.0,-0.75,179518784.0,1.35,263211488.0,1.98
2025-09-17,377.1,6.7,1242515968.0,6.18,559617792.0,2.78,682898176.0,3.4,-147910896.0,-0.74,-1094605248.0,-5.44
2025-09-18,366.89,-2.71,-1045715200.0,-5.42,-1164483072.0,-6.03,118767872.0,0.62,425899472.0,2.21,619815632.0,3.21
2025-09-19,368.49,0.44,396410944.0,3.17,249204624.0,1.99,147206320.0,1.18,-35357568.0,-0.28,-361053376.0,-2.88
2025-09-22,370.05,0.42,-211438080.0,-2.02,17074144.0,0.16,-228512224.0,-2.18,-943392.0,-0.01,212381472.0,2.03
2025-09-23,368.15,-0.51,-686916608.0,-5.36,-506744816.0,-3.95,-180171792.0,-1.41,179384208.0,1.4,507532400.0,3.96
2025-09-24,379.93,3.2,988887440.0,6.91,1107202704.0,7.74,-118315264.0,-0.83,-383504464.0,-2.68,-605382864.0,-4.23
2025-09-25,392.85,3.4,1139222784.0,6.24,626151168.0,3.43,513071616.0,2.81,-340854912.0,-1.87,-798368160.0,-4.37
2025-09-26,380.4,-3.17,-1335822880.0,-9.47,-981572896.0,-6.96,-354249984.0,-2.51,397910672.0,2.82,937912240.0,6.65
2025-09-29,397.37,4.46,440483312.0,2.86,302712048.0,1.97,137771264.0,0.9,180510768.0,1.17,-620994176.0,-4.04
2025-09-30,402.0,1.17,127272240.0,0.96,-122845904.0,-0.93,250118144.0,1.88,-213607360.0,-1.61,86335328.0,0.65
2025-10-09,409.89,1.96,51980544.0,0.31,-348124160.0,-2.05,400104704.0,2.36,-48883456.0,-0.29,-3097244.0,-0.02
2025-10-10,381.95,-6.82,-3020812800.0,-14.6,-2131119360.0,-10.3,-889693440.0,-4.3,1181265152.0,5.71,1839547760.0,8.89
2025-10-13,374.5,-1.95,-705661696.0,-4.01,58277632.0,0.33,-763939328.0,-4.34,-155252288.0,-0.88,860914032.0,4.89
