日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-02,28.0,1.52,602835616.0,12.26,414052976.0,8.42,188782640.0,3.84,-282154816.0,-5.74,-320680784.0,-6.52
2025-09-03,27.75,-0.89,20681056.0,0.58,59934448.0,1.68,-39253392.0,-1.1,-246157984.0,-6.91,225476912.0,6.33
2025-09-04,28.02,0.97,467412944.0,9.48,239628096.0,4.86,227784848.0,4.62,-101520256.0,-2.06,-365892688.0,-7.42
2025-09-05,27.86,-0.57,-74277824.0,-2.47,-167718032.0,-5.58,93440208.0,3.11,-9466992.0,-0.31,83744832.0,2.79
2025-09-08,27.94,0.29,57495344.0,2.27,11779584.0,0.47,45715760.0,1.8,-142038064.0,-5.61,84542704.0,3.34
2025-09-09,27.8,-0.5,-82472080.0,-3.86,51429264.0,2.41,-133901344.0,-6.27,-106809872.0,-5.0,189281952.0,8.87
2025-09-10,27.8,0.0,124284416.0,7.42,84912976.0,5.07,39371440.0,2.35,-116904016.0,-6.98,-7380400.0,-0.44
2025-09-11,27.79,-0.04,-246808640.0,-8.38,41672608.0,1.41,-288481248.0,-9.79,97155328.0,3.3,149653312.0,5.08
2025-09-12,27.72,-0.25,-143036992.0,-5.49,-186125856.0,-7.15,43088864.0,1.66,44288976.0,1.7,98748016.0,3.79
2025-09-15,27.59,-0.47,-192917456.0,-9.57,-98729808.0,-4.9,-94187648.0,-4.67,-2083184.0,-0.1,195000624.0,9.67
2025-09-16,27.52,-0.25,-222305720.0,-13.94,-209013704.0,-13.11,-13292016.0,-0.83,88703792.0,5.56,133601936.0,8.38
2025-09-17,27.49,-0.11,-183288848.0,-10.75,-97005616.0,-5.69,-86283232.0,-5.06,39183024.0,2.3,144105856.0,8.45
2025-09-18,27.1,-1.42,-687600720.0,-17.3,-298970592.0,-7.52,-388630128.0,-9.78,8433872.0,0.21,679166848.0,17.09
2025-09-19,26.99,-0.41,-202808160.0,-10.14,53057856.0,2.65,-255866016.0,-12.8,11827440.0,0.59,190980720.0,9.55
2025-09-22,26.91,-0.3,-62025952.0,-3.28,112448640.0,5.95,-174474592.0,-9.23,25765984.0,1.36,36259968.0,1.92
2025-09-23,27.11,0.74,78054448.0,3.29,38083504.0,1.6,39970944.0,1.68,-133113904.0,-5.6,55059456.0,2.32
2025-09-24,27.04,-0.26,-392064192.0,-16.39,-164045568.0,-6.86,-228018624.0,-9.53,210970928.0,8.82,181093248.0,7.57
2025-09-25,27.08,0.15,55988026.0,3.24,103164954.0,5.97,-47176928.0,-2.73,-149051136.0,-8.63,93063104.0,5.39
2025-09-26,27.26,0.66,33833088.0,1.55,71082496.0,3.26,-37249408.0,-1.71,-4842640.0,-0.22,-28990464.0,-1.33
2025-09-29,27.09,-0.62,-37051040.0,-1.46,147148288.0,5.81,-184199328.0,-7.27,-15420480.0,-0.61,52471520.0,2.07
2025-09-30,27.04,-0.18,-136026576.0,-8.07,105508464.0,6.26,-241535040.0,-14.33,-6814448.0,-0.4,142841009.0,8.47
2025-10-09,27.47,1.59,172663504.0,5.55,248989872.0,8.0,-76326368.0,-2.45,-159395776.0,-5.12,-13267760.0,-0.43
2025-10-10,27.52,0.18,167350372.0,8.48,111721108.0,5.66,55629264.0,2.82,-121470624.0,-6.16,-45879744.0,-2.33
2025-10-13,27.58,0.22,194416976.0,5.97,233651312.0,7.18,-39234336.0,-1.21,-76741008.0,-2.36,-117675968.0,-3.61
2025-10-14,27.78,0.73,264402208.0,6.94,30928240.0,0.81,233473968.0,6.13,-175952560.0,-4.62,-88449632.0,-2.32
