日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-02,42.43,3.56,197943200.0,3.18,258122336.0,4.14,-60179136.0,-0.97,-248833536.0,-3.99,50890320.0,0.82
2025-09-03,41.89,-1.27,-154199888.0,-4.37,-34558800.0,-0.98,-119641088.0,-3.39,-184150448.0,-5.22,338350320.0,9.59
2025-09-04,42.04,0.36,23533888.0,0.59,125341488.0,3.14,-101807600.0,-2.55,85173760.0,2.13,-108707632.0,-2.72
2025-09-05,41.75,-0.69,-346795629.0,-14.16,-233800349.0,-9.54,-112995280.0,-4.61,184178336.0,7.52,162617264.0,6.64
2025-09-08,41.42,-0.79,-681065952.0,-18.74,-382376864.0,-10.52,-298689088.0,-8.22,241799856.0,6.65,439266096.0,12.08
2025-09-09,41.82,0.97,-192937392.0,-7.67,-42904000.0,-1.71,-150033392.0,-5.96,-107146992.0,-4.26,300084384.0,11.93
2025-09-10,41.99,0.41,308045136.0,15.23,264008048.0,13.05,44037088.0,2.18,-290043280.0,-14.34,-18001872.0,-0.89
2025-09-11,42.29,0.71,41239504.0,1.47,-62756736.0,-2.24,103996240.0,3.71,-25764480.0,-0.92,-15475024.0,-0.55
2025-09-12,41.53,-1.8,-735512848.0,-20.89,-511465968.0,-14.52,-224046880.0,-6.36,363862288.0,10.33,371650592.0,10.55
2025-09-15,41.21,-0.77,-430962016.0,-14.54,-275592880.0,-9.3,-155369136.0,-5.24,151546304.0,5.11,279415712.0,9.43
2025-09-16,40.74,-1.14,-928342656.0,-25.79,-820727616.0,-22.8,-107615040.0,-2.99,418289248.0,11.62,510053408.0,14.17
2025-09-17,40.75,0.02,-295521648.0,-12.35,-375050928.0,-15.68,79529280.0,3.32,175828688.0,7.35,119692976.0,5.0
2025-09-18,39.82,-2.28,-338111056.0,-8.18,-169445520.0,-4.1,-168665536.0,-4.08,-71993392.0,-1.74,410104464.0,9.93
2025-09-19,39.99,0.43,-419822192.0,-12.2,-126325808.0,-3.67,-293496384.0,-8.53,159248176.0,4.63,260574016.0,7.57
2025-09-22,39.91,-0.2,324397488.0,12.07,8479728.0,0.32,315917760.0,11.75,-213698832.0,-7.95,-110698656.0,-4.12
2025-09-23,40.54,1.58,283956560.0,7.3,16691248.0,0.43,267265312.0,6.87,-200083008.0,-5.14,-83873552.0,-2.16
2025-09-24,40.31,-0.57,90507168.0,3.39,86852688.0,3.25,3654480.0,0.14,-53386176.0,-2.0,-37120976.0,-1.39
2025-09-25,39.81,-1.24,-110753216.0,-4.06,79111472.0,2.9,-189864688.0,-6.95,-72326192.0,-2.65,183079408.0,6.71
2025-09-26,39.79,-0.05,-142957520.0,-5.15,-68928608.0,-2.48,-74028912.0,-2.67,143089120.0,5.16,-131616.0,-0.0
2025-09-29,39.67,-0.3,-163595744.0,-4.8,-95236832.0,-2.8,-68358912.0,-2.01,197116032.0,5.79,-33520288.0,-0.98
2025-09-30,39.4,-0.68,-279963040.0,-9.87,-19071296.0,-0.67,-260891744.0,-9.2,120882736.0,4.26,159080304.0,5.61
2025-10-09,39.32,-0.2,-178747520.0,-4.58,-46886752.0,-1.2,-131860768.0,-3.38,-37012208.0,-0.95,215759712.0,5.53
2025-10-10,39.17,-0.38,-244853008.0,-6.36,-243689152.0,-6.32,-1163856.0,-0.03,18284352.0,0.47,226568672.0,5.88
2025-10-13,39.1,-0.18,-101034416.0,-2.37,73543728.0,1.72,-174578144.0,-4.09,9391728.0,0.22,91642704.0,2.15
2025-10-14,40.25,2.94,-231645680.0,-3.26,101081136.0,1.42,-332726816.0,-4.68,-134806032.0,-1.9,366451712.0,5.16
2025-10-15,40.49,0.6,-184336160.0,-4.2,-147364464.0,-3.35,-36971696.0,-0.84,98974720.0,2.25,85361440.0,1.94
2025-10-16,40.92,1.06,-179780304.0,-4.06,-22084416.0,-0.5,-157695888.0,-3.56,-34855520.0,-0.79,214635808.0,4.85
2025-10-17,40.58,-0.83,-395443360.0,-11.39,-180035568.0,-5.19,-215407792.0,-6.21,116330160.0,3.35,279113216.0,8.04
2025-10-20,40.41,-0.42,-11905024.0,-0.44,-41254592.0,-1.53,29349568.0,1.09,6136464.0,0.23,5768576.0,0.21
2025-10-21,40.97,1.39,-166331488.0,-5.22,4200064.0,0.13,-170531552.0,-5.36,3623040.0,0.11,162708448.0,5.11
2025-10-22,40.94,-0.07,-180066032.0,-7.79,-106553296.0,-4.61,-73512736.0,-3.18,95619264.0,4.14,84446768.0,3.65
2025-10-23,41.23,0.71,73005504.0,2.43,26853168.0,0.89,46152336.0,1.54,11458512.0,0.38,-84464032.0,-2.81
2025-10-24,40.94,-0.7,-214152624.0,-7.29,-105169792.0,-3.58,-108982832.0,-3.71,117156928.0,3.99,96995696.0,3.3
2025-10-27,40.58,-0.88,-759312208.0,-18.43,-411316272.0,-9.98,-347995936.0,-8.45,450162240.0,10.93,309149952.0,7.5
2025-10-28,40.59,0.02,-252462752.0,-8.62,-214167328.0,-7.31,-38295424.0,-1.31,232865680.0,7.95,19597072.0,0.67
2025-10-29,39.76,-2.04,-806429744.0,-21.59,-358503648.0,-9.6,-447926096.0,-11.99,275653808.0,7.38,530775952.0,14.21
2025-10-30,40.19,1.08,-450694336.0,-9.7,-69218304.0,-1.49,-381476032.0,-8.21,60047808.0,1.29,390646544.0,8.4
2025-10-31,39.88,-0.77,-271377920.0,-9.42,-15847040.0,-0.55,-255530880.0,-8.87,315483696.0,10.95,-44105776.0,-1.53
