日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-02,75.67,2.9,229115824.0,3.75,222812480.0,3.65,6303344.0,0.1,26270928.0,0.43,-255386752.0,-4.18
2025-09-03,75.13,-0.71,110590320.0,2.89,160535264.0,4.2,-49944944.0,-1.31,-167160880.0,-4.37,56570576.0,1.48
2025-09-04,75.1,-0.04,28984944.0,0.87,-42798592.0,-1.29,71783536.0,2.16,65092672.0,1.96,-94077600.0,-2.83
2025-09-05,75.73,0.84,57613280.0,1.63,8841616.0,0.25,48771664.0,1.38,101864912.0,2.88,-159478208.0,-4.52
2025-09-08,76.54,1.07,4734016.0,0.11,169702976.0,4.0,-164968960.0,-3.89,26648448.0,0.63,-31382464.0,-0.74
2025-09-09,76.69,0.2,240508992.0,8.16,211289008.0,7.17,29219984.0,0.99,-281463392.0,-9.55,40954400.0,1.39
2025-09-10,76.53,-0.21,10514272.0,0.5,107910544.0,5.17,-97396272.0,-4.67,-92203872.0,-4.42,81689600.0,3.91
2025-09-11,76.53,0.0,20700464.0,0.59,125125456.0,3.56,-104424992.0,-2.97,-92377456.0,-2.63,71676992.0,2.04
2025-09-12,75.08,-1.89,-430738464.0,-9.56,-141622160.0,-3.14,-289116304.0,-6.41,207051520.0,4.59,223686960.0,4.96
2025-09-15,74.68,-0.53,-215192720.0,-5.95,-7473456.0,-0.21,-207719264.0,-5.75,-60171584.0,-1.66,275364304.0,7.62
2025-09-16,73.97,-0.95,-451529520.0,-13.3,86113792.0,2.54,-537643312.0,-15.83,127424528.0,3.75,324104992.0,9.54
2025-09-17,73.86,-0.15,-423829968.0,-9.85,-61687424.0,-1.43,-362142544.0,-8.41,103500400.0,2.4,320329536.0,7.44
2025-09-18,73.25,-0.83,-602977616.0,-13.54,-651256400.0,-14.63,48278784.0,1.08,126374480.0,2.84,476603152.0,10.7
2025-09-19,73.86,0.83,169110576.0,5.87,205737696.0,7.14,-36627120.0,-1.27,-164958544.0,-5.73,-4152016.0,-0.14
2025-09-22,72.77,-1.48,2322976.0,0.07,169561184.0,4.82,-167238208.0,-4.75,-229968752.0,-6.53,227645776.0,6.47
2025-09-23,73.04,0.37,14066608.0,0.46,244008864.0,7.92,-229942256.0,-7.46,-101664320.0,-3.3,87597728.0,2.84
2025-09-24,73.61,0.78,88272736.0,3.91,-8572240.0,-0.38,96844976.0,4.28,96768480.0,4.28,-185041216.0,-8.19
2025-09-25,72.35,-1.71,-247618144.0,-7.1,81274240.0,2.33,-328892384.0,-9.43,209292560.0,6.0,38325584.0,1.1
2025-09-26,73.71,1.88,255858944.0,7.26,299069632.0,8.49,-43210688.0,-1.23,1680016.0,0.05,-257538960.0,-7.31
2025-09-29,73.24,-0.64,-106080928.0,-3.09,-62926720.0,-1.83,-43154208.0,-1.26,143137824.0,4.17,-37056912.0,-1.08
2025-09-30,72.17,-1.46,-550802352.0,-14.93,-559771696.0,-15.17,8969344.0,0.24,275662368.0,7.47,275139984.0,7.46
2025-10-09,72.14,-0.04,-442814224.0,-9.96,-190498496.0,-4.28,-252315728.0,-5.67,24162176.0,0.54,418652032.0,9.41
2025-10-10,72.34,0.28,191367680.0,6.04,54092928.0,1.71,137274752.0,4.33,-89444176.0,-2.82,-101923520.0,-3.22
2025-10-13,71.32,-1.41,523450880.0,15.17,246457968.0,7.14,276992912.0,8.03,-286060176.0,-8.29,-237390704.0,-6.88
