日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-11-03,58.31,0.83,87538592.0,3.65,68187040.0,2.84,19351552.0,0.81,-80634496.0,-3.36,-6904080.0,-0.29
2025-11-04,58.94,1.08,362563408.0,11.91,147131584.0,4.83,215431824.0,7.07,-166908208.0,-5.48,-195655200.0,-6.43
2025-11-05,58.32,-1.05,-31989040.0,-1.36,-105457152.0,-4.49,73468112.0,3.13,29356416.0,1.25,2632592.0,0.11
2025-11-06,58.9,0.99,1050080.0,0.03,95329616.0,2.96,-94279536.0,-2.92,-72232928.0,-2.24,71182832.0,2.21
2025-11-07,58.89,-0.02,97854720.0,4.47,29172112.0,1.33,68682608.0,3.13,-132042352.0,-6.03,34187632.0,1.56
2025-11-10,59.3,0.7,-101330464.0,-3.23,-84896368.0,-2.71,-16434096.0,-0.52,101796784.0,3.25,-466336.0,-0.01
2025-11-11,59.2,-0.17,-30433232.0,-1.42,-148076704.0,-6.91,117643472.0,5.49,-39543920.0,-1.84,69977168.0,3.26
2025-11-12,60.03,1.4,272538672.0,3.03,210516144.0,2.34,62022528.0,0.69,84575776.0,0.94,-357114432.0,-3.97
2025-11-13,60.88,1.42,-296857408.0,-5.48,-5950656.0,-0.11,-290906752.0,-5.37,85443184.0,1.58,211414256.0,3.9
2025-11-14,60.65,-0.38,14919632.0,0.32,138875808.0,3.0,-123956176.0,-2.68,-67221168.0,-1.45,52301536.0,1.13
2025-11-17,59.83,-1.35,-215054896.0,-6.41,-131947952.0,-3.93,-83106944.0,-2.48,72336832.0,2.16,142718064.0,4.25
2025-11-18,59.62,-0.35,-229984288.0,-8.63,-184771568.0,-6.94,-45212720.0,-1.7,90060448.0,3.38,139923840.0,5.25
2025-11-19,60.37,1.26,-540139648.0,-12.65,11368320.0,0.27,-551507968.0,-12.92,304622144.0,7.14,235517504.0,5.52
2025-11-20,60.2,-0.28,46585392.0,1.95,10519584.0,0.44,36065808.0,1.51,4023088.0,0.17,-50608496.0,-2.12
2025-11-21,58.91,-2.14,-438675392.0,-10.79,-268377152.0,-6.6,-170298240.0,-4.19,81011744.0,1.99,357663648.0,8.79
2025-11-24,58.4,-0.87,1702496.0,0.05,-30220256.0,-0.96,31922752.0,1.02,-86207232.0,-2.74,84504736.0,2.69
2025-11-25,59.47,1.83,113543936.0,3.93,-95184.0,-0.0,113639120.0,3.94,-54289296.0,-1.88,-59254624.0,-2.05
2025-11-26,59.78,0.52,-169636160.0,-6.53,-142813280.0,-5.5,-26822880.0,-1.03,244149536.0,9.4,-74513392.0,-2.87
2025-11-27,59.34,-0.74,-28082592.0,-0.94,-142716976.0,-4.77,114634384.0,3.83,117062384.0,3.91,-88979792.0,-2.97
2025-11-28,58.99,-0.59,282646256.0,11.07,84115776.0,3.29,198530480.0,7.77,-240534656.0,-9.42,-42111600.0,-1.65
2025-12-01,58.63,-0.61,-5306208.0,-0.2,-66319248.0,-2.54,61013040.0,2.33,-94149472.0,-3.6,99455664.0,3.8
2025-12-02,58.8,0.29,-98386480.0,-4.47,28209568.0,1.28,-126596048.0,-5.75,9218448.0,0.42,89168016.0,4.05
2025-12-03,58.35,-0.77,-247282672.0,-12.6,-181139664.0,-9.23,-66143008.0,-3.37,37261312.0,1.9,210021344.0,10.7
2025-12-04,58.55,0.34,-124178193.0,-9.77,-119173185.0,-9.37,-5005008.0,-0.39,95589392.0,7.52,28588799.0,2.25
2025-12-05,61.99,5.88,1074887408.0,12.82,720644176.0,8.59,354243232.0,4.22,-314485936.0,-3.75,-760401472.0,-9.07
2025-12-08,63.4,2.27,163575360.0,2.51,206954288.0,3.18,-43378928.0,-0.67,-87422656.0,-1.34,-76152720.0,-1.17
2025-12-09,62.45,-1.5,-141761056.0,-4.66,-163411856.0,-5.37,21650800.0,0.71,66007760.0,2.17,75753280.0,2.49
2025-12-10,62.55,0.16,-263326800.0,-9.37,-180094144.0,-6.41,-83232656.0,-2.96,90616672.0,3.23,172710128.0,6.15
2025-12-11,62.53,-0.03,-559365392.0,-18.7,-578988832.0,-19.36,19623440.0,0.66,328780544.0,10.99,230584848.0,7.71
2025-12-12,63.91,2.21,261777808.0,3.78,53316384.0,0.77,208461424.0,3.01,231378736.0,3.34,-493156528.0,-7.12
2025-12-15,67.08,4.96,627710928.0,6.12,260966848.0,2.54,366744080.0,3.58,13032464.0,0.13,-640743392.0,-6.25
2025-12-16,67.0,-0.12,-340379920.0,-4.81,177024400.0,2.5,-517404320.0,-7.31,3575200.0,0.05,336804720.0,4.76
2025-12-17,68.05,1.57,319885344.0,4.91,282700384.0,4.34,37184960.0,0.57,286266224.0,4.4,-606151552.0,-9.31
2025-12-18,68.5,0.66,273176496.0,7.11,413264288.0,10.76,-140087792.0,-3.65,-72370528.0,-1.88,-200805968.0,-5.23
2025-12-19,68.75,0.36,733687632.0,16.81,434176448.0,9.95,299511184.0,6.86,-249876944.0,-5.73,-483810720.0,-11.09
2025-12-22,68.54,-0.31,40130864.0,1.05,50126800.0,1.31,-9995936.0,-0.26,88165440.0,2.31,-128296320.0,-3.35
