日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-02,110.02,0.29,31958224.0,0.38,-73866752.0,-0.87,105824976.0,1.25,-105117232.0,-1.24,73159008.0,0.86
2025-09-03,107.21,-2.55,-1242145648.0,-15.57,-613511360.0,-7.69,-628634288.0,-7.88,294054032.0,3.69,948091632.0,11.89
2025-09-04,104.0,-2.99,-1768791168.0,-20.59,-825462848.0,-9.61,-943328320.0,-10.98,444531536.0,5.18,1324259648.0,15.42
2025-09-05,107.26,3.13,595434960.0,7.17,94739936.0,1.14,500695024.0,6.03,-395860512.0,-4.76,-199574448.0,-2.4
2025-09-08,106.25,-0.94,-430813472.0,-7.29,67359536.0,1.14,-498173008.0,-8.43,11469280.0,0.19,419344192.0,7.09
2025-09-09,105.49,-0.72,-175821024.0,-4.34,13895056.0,0.34,-189716080.0,-4.69,-50910704.0,-1.26,226731728.0,5.6
2025-09-10,105.2,-0.27,-145396400.0,-4.27,-100054880.0,-2.94,-45341520.0,-1.33,-52068944.0,-1.53,197465344.0,5.81
2025-09-11,106.59,1.32,-121673552.0,-2.14,-286087728.0,-5.03,164414176.0,2.89,-21212688.0,-0.37,142886240.0,2.51
2025-09-12,105.91,-0.64,-468376320.0,-9.64,-307810112.0,-6.33,-160566208.0,-3.3,135790288.0,2.79,332586016.0,6.84
2025-09-15,108.7,2.63,840399856.0,7.91,722693168.0,6.8,117706688.0,1.11,-410823696.0,-3.87,-429576160.0,-4.04
2025-09-16,107.8,-0.83,-395042048.0,-6.87,-317847952.0,-5.52,-77194096.0,-1.34,82456864.0,1.43,312585184.0,5.43
2025-09-17,110.99,2.96,1331848160.0,12.3,785084800.0,7.25,546763360.0,5.05,-773882384.0,-7.15,-557965776.0,-5.15
2025-09-18,109.71,-1.15,-324196192.0,-3.13,-212281920.0,-2.05,-111914272.0,-1.08,-118297712.0,-1.14,442493904.0,4.27
2025-09-19,109.09,-0.57,-223999696.0,-4.32,-126422912.0,-2.44,-97576784.0,-1.88,98440832.0,1.9,125558864.0,2.42
2025-09-22,107.99,-1.01,-697654816.0,-13.18,-512610352.0,-9.68,-185044464.0,-3.5,197359760.0,3.73,500295056.0,9.45
2025-09-23,105.6,-2.21,-1484767008.0,-21.56,-1034367568.0,-15.02,-450399440.0,-6.54,381625792.0,5.54,1103141200.0,16.01
2025-09-24,105.71,0.1,-667879136.0,-11.6,-655941552.0,-11.39,-11937584.0,-0.21,177159888.0,3.08,490719248.0,8.52
2025-09-25,107.5,1.69,924316880.0,12.45,711619168.0,9.59,212697712.0,2.87,-446355616.0,-6.01,-477961264.0,-6.44
2025-09-26,107.29,-0.2,238682496.0,2.89,396894224.0,4.81,-158211728.0,-1.92,-119379408.0,-1.45,-119303104.0,-1.45
