日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比
2025-09-02,1467.34,1.05,296611648.0,3.5,480869520.0,5.68,-184257872.0,-2.18,-296331840.0,-3.5,-279799.0,-0.0
2025-09-03,1456.59,-0.73,-240875168.0,-3.62,124556912.0,1.87,-365432080.0,-5.49,241084384.0,3.62,-209199.0,-0.0
2025-09-04,1448.7,-0.54,-139985600.0,-1.99,-239161584.0,-3.41,99175984.0,1.41,140048848.0,2.0,-63250.0,-0.0
2025-09-05,1459.04,0.71,-47768240.0,-0.87,-404442240.0,-7.33,356674000.0,6.46,48026688.0,0.87,-258433.0,-0.0
2025-09-08,1477.27,1.25,581304192.0,7.57,143759152.0,1.87,437545040.0,5.7,-581088480.0,-7.56,-215712.0,-0.0
2025-09-09,1481.04,0.26,-87130576.0,-1.62,-299188080.0,-5.57,212057504.0,3.95,87360000.0,1.63,-229439.0,-0.0
2025-09-10,1498.05,1.15,826908736.0,10.96,599861344.0,7.95,227047392.0,3.01,-826536064.0,-10.96,-372657.0,-0.0
2025-09-11,1499.54,0.1,198632512.0,3.52,-110380128.0,-1.96,309012640.0,5.48,-198512624.0,-3.52,-119894.0,-0.0
2025-09-12,1492.04,-0.5,-24590784.0,-0.48,55168416.0,1.07,-79759200.0,-1.55,24785808.0,0.48,-195034.0,-0.0
2025-09-15,1491.14,-0.06,-316003760.0,-8.1,-223265792.0,-5.72,-92737968.0,-2.38,316192512.0,8.1,-188747.0,-0.0
2025-09-16,1476.02,-1.01,-696278560.0,-14.13,-124436432.0,-2.52,-571842128.0,-11.6,696574576.0,14.13,-296009.0,-0.01
2025-09-17,1469.04,-0.47,-409626432.0,-9.03,-375153376.0,-8.27,-34473056.0,-0.76,410316384.0,9.05,-689966.0,-0.02
2025-09-18,1444.0,-1.7,-1093548816.0,-14.88,-51787776.0,-0.7,-1041761040.0,-14.18,1093782768.0,14.89,-233945.0,-0.0
2025-09-19,1444.01,0.0,-18076976.0,-0.38,123430112.0,2.58,-141507088.0,-2.96,18254368.0,0.38,-177371.0,-0.0
2025-09-22,1429.39,-1.01,-518256352.0,-10.19,-298770048.0,-5.88,-219486304.0,-4.32,518375792.0,10.19,-119426.0,-0.0
2025-09-23,1423.46,-0.41,-615466624.0,-11.01,-272404944.0,-4.87,-343061680.0,-6.14,615563568.0,11.02,-96940.0,-0.0
2025-09-24,1418.04,-0.38,-275550720.0,-6.2,-106364960.0,-2.39,-169185760.0,-3.81,275770608.0,6.21,-219878.0,-0.0
2025-09-25,1415.04,-0.21,-516593504.0,-10.6,23511408.0,0.48,-540104912.0,-11.08,516763328.0,10.6,-169823.0,-0.0
2025-09-26,1411.04,-0.28,329189680.0,5.08,613624992.0,9.47,-284435312.0,-4.39,-329063200.0,-5.08,-126475.0,-0.0
2025-09-29,1436.9,1.83,516347376.0,6.62,384910784.0,4.94,131436592.0,1.69,-515985776.0,-6.62,-361582.0,-0.0
2025-09-30,1420.03,-1.17,-600851104.0,-10.56,101595360.0,1.79,-702446464.0,-12.35,600901616.0,10.57,-50521.0,-0.0
2025-10-09,1412.82,-0.51,-886627840.0,-11.3,-144965152.0,-1.85,-741662688.0,-9.45,886822000.0,11.3,-194161.0,-0.0
2025-10-10,1406.04,-0.48,-589955792.0,-11.44,170174192.0,3.3,-760129984.0,-14.74,590089024.0,11.44,-133223.0,-0.0
2025-10-13,1395.24,-0.77,-491085424.0,-7.52,-140920880.0,-2.16,-350164544.0,-5.36,491380544.0,7.52,-295126.0,-0.0
2025-10-14,1427.06,2.28,528799904.0,5.49,297833632.0,3.09,230966272.0,2.4,-528417488.0,-5.48,-382419.0,-0.0
2025-10-15,1438.04,0.77,491291680.0,7.88,255750208.0,4.1,235541472.0,3.78,-491043840.0,-7.88,-247836.0,-0.0
2025-10-16,1460.95,1.59,475082128.0,7.04,245678688.0,3.64,229403440.0,3.4,-474590272.0,-7.03,-491849.0,-0.01
2025-10-17,1431.04,-2.05,-560019488.0,-10.01,-379335472.0,-6.78,-180684016.0,-3.23,560188048.0,10.01,-168562.0,-0.0
2025-10-20,1433.97,0.2,172309728.0,4.54,138960944.0,3.66,33348784.0,0.88,-172290736.0,-4.54,-19001.0,-0.0
2025-10-21,1438.3,0.3,126051040.0,3.38,-1572416.0,-0.04,127623456.0,3.42,-125878080.0,-3.38,-172962.0,-0.0
2025-10-22,1434.74,-0.25,27736496.0,1.04,-161665312.0,-6.08,189401808.0,7.13,-27593328.0,-1.04,-143159.0,-0.01
2025-10-23,1444.02,0.65,-222473680.0,-5.2,96284624.0,2.25,-318758304.0,-7.46,222587696.0,5.21,-114022.0,-0.0
2025-10-24,1426.04,-1.25,-417249712.0,-7.48,-357912448.0,-6.42,-59337264.0,-1.06,417322480.0,7.48,-72779.0,-0.0
2025-10-27,1416.45,-0.67,-205580160.0,-3.84,-26453344.0,-0.49,-179126816.0,-3.35,205748976.0,3.84,-168820.0,-0.0
2025-10-28,1421.04,0.32,128788720.0,3.28,108512736.0,2.77,20275984.0,0.52,-128604960.0,-3.28,-183761.0,-0.0
2025-10-29,1407.94,-0.92,-929805968.0,-19.1,-377689712.0,-7.76,-552116256.0,-11.34,929923520.0,19.1,-117563.0,-0.0
2025-10-30,1402.78,-0.37,-576105616.0,-8.51,-188691856.0,-2.79,-387413760.0,-5.72,576194064.0,8.51,-88453.0,-0.0
2025-10-31,1406.05,0.23,87732704.0,1.72,107836480.0,2.11,-20103776.0,-0.39,-87589376.0,-1.71,-143324.0,-0.0
2025-11-03,1411.04,0.35,-190803280.0,-3.86,-74772832.0,-1.51,-116030448.0,-2.35,191073664.0,3.86,-270386.0,-0.01
2025-11-04,1405.04,-0.43,-281455568.0,-7.42,-230835968.0,-6.08,-50619600.0,-1.33,281632656.0,7.42,-177077.0,-0.0
