date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,300059,14.69,14.48,14.69,14.47,1189256.0,1732557082.0,1.49,-1.63,-0.24,0.89
20231206,300059,14.45,14.41,14.54,14.37,1144145.0,1653472780.0,1.17,-0.48,-0.07,0.85
20231207,300059,14.36,14.46,14.53,14.32,1086575.0,1569074996.0,1.46,0.35,0.05,0.81
20231208,300059,14.45,14.37,14.52,14.35,1146095.0,1654776689.0,1.18,-0.62,-0.09,0.85
20231211,300059,14.3,14.58,14.65,14.13,2025994.0,2907365246.0,3.62,1.46,0.21,1.51
20231212,300059,14.5,14.51,14.59,14.45,1013974.0,1470604700.0,0.96,-0.48,-0.07,0.75
20231213,300059,14.49,14.18,14.49,14.18,1245173.0,1780851892.0,2.14,-2.27,-0.33,0.93
20231214,300059,14.27,14.15,14.35,14.13,950403.0,1351947747.0,1.55,-0.21,-0.03,0.71
20231215,300059,14.2,14.18,14.34,14.13,1060131.0,1508266027.0,1.48,0.21,0.03,0.79
20231218,300059,14.13,14.16,14.29,14.11,1063940.0,1510181111.0,1.27,-0.14,-0.02,0.79
20231219,300059,14.15,14.17,14.24,14.06,1081583.0,1530008208.0,1.27,0.07,0.01,0.81
20231220,300059,14.17,13.86,14.2,13.85,1386244.0,1940958103.0,2.47,-2.19,-0.31,1.03
20231221,300059,13.8,13.92,14.03,13.7,1260294.0,1752495787.0,2.38,0.43,0.06,0.94
20231222,300059,13.89,13.89,14.01,13.76,1162806.0,1615559484.0,1.8,-0.22,-0.03,0.87
20231225,300059,13.86,13.86,13.92,13.81,678999.0,940682319.0,0.79,-0.22,-0.03,0.51
20231226,300059,13.86,13.69,13.89,13.65,859582.0,1180930649.0,1.73,-1.23,-0.17,0.64
20231227,300059,13.69,13.42,13.74,13.01,2342975.0,3119754939.0,5.33,-1.97,-0.27,1.74
20231228,300059,13.35,13.96,14.1,13.32,2523412.0,3486315836.0,5.81,4.02,0.54,1.88
20231229,300059,13.91,14.04,14.11,13.9,1520285.0,2130239153.0,1.5,0.57,0.08,1.13
20240102,300059,14.04,13.8,14.05,13.79,1064376.0,1477596644.0,1.85,-1.71,-0.24,0.79
20240103,300059,13.81,13.71,13.86,13.56,1213635.0,1662576103.0,2.17,-0.65,-0.09,0.9
20240104,300059,13.7,13.46,13.71,13.4,1374692.0,1855462567.0,2.26,-1.82,-0.25,1.02
20240105,300059,13.44,13.28,13.61,13.22,1433099.0,1922418189.0,2.9,-1.34,-0.18,1.07
20240108,300059,13.21,13.07,13.34,13.03,1419888.0,1867603033.0,2.33,-1.58,-0.21,1.06
20240109,300059,13.07,13.1,13.23,12.97,1188095.0,1554956162.0,1.99,0.23,0.03,0.88
20240110,300059,13.03,12.98,13.19,12.91,1119933.0,1461625820.0,2.14,-0.92,-0.12,0.83
20240111,300059,12.96,13.17,13.26,12.88,1590514.0,2084916668.0,2.93,1.46,0.19,1.18
20240112,300059,13.1,12.95,13.17,12.95,1277011.0,1668870712.0,1.67,-1.67,-0.22,0.95
20240115,300059,12.88,12.83,13.08,12.81,1189663.0,1533737755.0,2.08,-0.93,-0.12,0.89
20240116,300059,12.79,12.93,12.96,12.6,1813376.0,2318335345.0,2.81,0.78,0.1,1.35
20240117,300059,12.82,12.43,12.84,12.43,1874319.0,2369736055.0,3.17,-3.87,-0.5,1.4
20240118,300059,12.32,12.82,12.88,12.28,2794326.0,3512233016.0,4.83,3.14,0.39,2.08
20240119,300059,12.71,12.7,12.8,12.63,1448930.0,1841834342.0,1.33,-0.94,-0.12,1.08
20240122,300059,12.67,12.41,12.78,12.3,2034770.0,2568074046.0,3.78,-2.28,-0.29,1.52
20240123,300059,12.42,12.71,12.84,12.36,2173214.0,2753585398.0,3.87,2.42,0.3,1.62
20240124,300059,12.8,13.27,13.38,12.55,3567731.0,4621885112.0,6.53,4.41,0.56,2.66
20240125,300059,13.1,13.35,13.52,13.03,3201998.0,4251856190.0,3.69,0.6,0.08,2.38
20240126,300059,13.25,13.12,13.36,13.09,2395878.0,3166067646.0,2.02,-1.72,-0.23,1.78
20240129,300059,13.12,12.82,13.21,12.82,1709190.0,2220778411.0,2.97,-2.29,-0.3,1.27
20240130,300059,12.72,12.56,12.9,12.54,1592304.0,2027490823.0,2.81,-2.03,-0.26,1.19
20240131,300059,12.52,12.48,12.69,12.44,1583445.0,1988501228.0,1.99,-0.64,-0.08,1.18
20240201,300059,12.42,12.69,12.89,12.41,2008944.0,2550873039.0,3.85,1.68,0.21,1.5
20240202,300059,12.66,12.45,12.76,12.09,2435755.0,3029456918.0,5.28,-1.89,-0.24,1.81
