date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,000858,145.5,142.67,145.83,142.24,150411.0,2167619334.59,2.46,-2.18,-3.18,0.39
20231206,000858,142.6,144.1,145.2,141.66,144742.0,2081995216.85,2.48,1.0,1.43,0.37
20231207,000858,144.1,142.52,144.27,141.5,151071.0,2152755581.71,1.92,-1.1,-1.58,0.39
20231208,000858,142.52,142.93,144.3,142.22,144759.0,2075536415.27,1.46,0.29,0.41,0.37
20231211,000858,139.6,139.2,140.0,136.56,323121.0,4465383122.8,2.41,-2.61,-3.73,0.83
20231212,000858,138.0,139.3,139.68,137.73,144023.0,2002700041.68,1.4,0.07,0.1,0.37
20231213,000858,138.6,133.78,138.68,133.58,318646.0,4313281475.84,3.66,-3.96,-5.52,0.82
20231214,000858,135.0,132.65,135.98,132.65,214418.0,2872608825.88,2.49,-0.84,-1.13,0.55
20231215,000858,133.67,133.7,135.8,132.8,200133.0,2685090415.6,2.26,0.79,1.05,0.52
20231218,000858,132.05,134.0,134.8,131.87,129300.0,1727901875.36,2.19,0.22,0.3,0.33
20231219,000858,133.99,133.33,133.99,132.56,130160.0,1732968199.63,1.07,-0.5,-0.67,0.34
20231220,000858,133.85,132.13,133.93,132.1,106300.0,1411911254.62,1.37,-0.9,-1.2,0.27
20231221,000858,131.88,134.1,134.45,131.48,176648.0,2355445615.95,2.25,1.49,1.97,0.46
20231222,000858,134.06,133.42,134.8,132.57,164023.0,2191023169.19,1.66,-0.51,-0.68,0.42
20231225,000858,133.32,134.55,134.57,132.95,98621.0,1322860816.57,1.21,0.85,1.13,0.25
20231226,000858,134.55,134.32,134.55,133.61,73678.0,986855945.14,0.7,-0.17,-0.23,0.19
20231227,000858,134.32,133.83,134.78,133.03,104309.0,1395667156.77,1.3,-0.36,-0.49,0.27
20231228,000858,133.83,140.1,141.14,133.55,336109.0,4647651265.17,5.67,4.69,6.27,0.87
20231229,000858,140.0,140.31,141.64,139.29,194541.0,2730826835.35,1.68,0.15,0.21,0.5
20240102,000858,140.3,136.0,140.3,135.8,215270.0,2947170556.8,3.21,-3.07,-4.31,0.55
20240103,000858,135.98,134.88,136.67,133.75,164171.0,2211980500.19,2.15,-0.82,-1.12,0.42
20240104,000858,134.88,132.32,134.9,132.01,178763.0,2371204451.67,2.14,-1.9,-2.56,0.46
20240105,000858,132.0,131.24,133.3,130.78,156304.0,2062827516.43,1.9,-0.82,-1.08,0.4
20240108,000858,131.01,128.1,131.14,128.0,210200.0,2706248455.91,2.39,-2.39,-3.14,0.54
20240109,000858,128.1,127.81,129.38,127.41,174838.0,2241449420.48,1.54,-0.23,-0.29,0.45
20240110,000858,127.81,128.8,129.58,126.01,165304.0,2118536476.06,2.79,0.77,0.99,0.43
20240111,000858,128.7,129.62,130.5,127.22,156464.0,2021717963.8,2.55,0.64,0.82,0.4
20240112,000858,128.88,128.75,130.12,128.1,119208.0,1539729131.14,1.56,-0.67,-0.87,0.31
