date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,000333,50.09,49.22,50.19,49.22,225103.0,1120255577.3,1.94,-1.74,-0.87,0.33
20231206,000333,49.06,49.18,49.65,48.75,191141.0,942351431.42,1.83,-0.08,-0.04,0.28
20231207,000333,49.36,50.22,50.49,49.22,250219.0,1251685066.74,2.58,2.11,1.04,0.36
20231208,000333,50.18,50.34,51.08,50.09,218113.0,1102240031.34,1.97,0.24,0.12,0.32
20231211,000333,49.85,51.02,51.4,49.22,252015.0,1272635678.21,4.33,1.35,0.68,0.37
20231212,000333,51.5,51.0,51.55,50.72,172048.0,879672020.1,1.63,-0.04,-0.02,0.25
20231213,000333,50.9,50.69,50.99,50.51,128587.0,652164458.2,0.94,-0.61,-0.31,0.19
20231214,000333,50.91,50.89,51.47,50.58,165634.0,847402712.77,1.76,0.39,0.2,0.24
20231215,000333,50.51,50.33,51.1,50.3,204702.0,1034871741.97,1.57,-1.1,-0.56,0.3
20231218,000333,50.03,51.09,51.18,49.75,223075.0,1133044739.96,2.84,1.51,0.76,0.32
20231219,000333,51.08,50.75,51.08,50.46,169545.0,859776399.62,1.21,-0.67,-0.34,0.25
20231220,000333,50.75,51.03,51.4,50.52,254170.0,1298397555.67,1.73,0.55,0.28,0.37
20231221,000333,51.22,52.02,52.28,50.87,274212.0,1422425462.34,2.76,1.94,0.99,0.4
20231222,000333,51.91,52.77,52.99,51.7,227281.0,1194539707.6,2.48,1.44,0.75,0.33
20231225,000333,52.62,52.67,53.25,52.43,113150.0,598032181.63,1.55,-0.19,-0.1,0.16
20231226,000333,52.62,52.8,53.23,52.53,161523.0,855413702.78,1.33,0.25,0.13,0.23
20231227,000333,52.78,53.6,53.7,52.72,203069.0,1081963246.61,1.86,1.52,0.8,0.29
20231228,000333,53.44,54.05,54.16,53.25,247280.0,1331261037.56,1.7,0.84,0.45,0.36
20231229,000333,54.07,54.63,54.98,53.72,259373.0,1410074986.81,2.33,1.07,0.58,0.38
20240102,000333,54.63,54.56,55.05,54.2,239057.0,1305162003.76,1.56,-0.13,-0.07,0.35
20240103,000333,54.59,54.45,54.8,54.1,206897.0,1126649739.09,1.28,-0.2,-0.11,0.3
20240104,000333,54.66,55.25,55.32,54.45,267025.0,1467886384.85,1.6,1.47,0.8,0.39
20240105,000333,55.2,55.6,56.08,54.85,300429.0,1669357551.21,2.23,0.63,0.35,0.44
20240108,000333,55.6,55.0,55.6,54.62,278097.0,1531117698.75,1.76,-1.08,-0.6,0.4
20240109,000333,54.71,55.17,55.33,54.11,216070.0,1184711711.55,2.22,0.31,0.17,0.31
20240110,000333,55.17,55.22,55.77,54.84,178208.0,984854746.1,1.69,0.09,0.05,0.26
20240111,000333,55.22,55.0,55.49,54.73,212369.0,1168392664.94,1.38,-0.4,-0.22,0.31
20240112,000333,54.9,55.0,55.71,54.58,243611.0,1343879865.49,2.05,0.0,0.0,0.35
20240115,000333,54.84,55.88,55.98,54.66,191241.0,1063527118.83,2.4,1.6,0.88,0.28
20240116,000333,55.61,56.92,56.95,55.1,337304.0,1903147107.14,3.31,1.86,1.04,0.49
20240117,000333,56.63,56.37,57.29,56.37,269141.0,1530395102.15,1.62,-0.97,-0.55,0.39
20240118,000333,56.79,56.4,56.99,55.08,390231.0,2175726535.61,3.39,0.05,0.03,0.57
20240119,000333,56.0,56.14,56.6,55.86,299370.0,1681993909.22,1.31,-0.46,-0.26,0.43
20240122,000333,55.88,55.34,56.66,55.08,359803.0,2017295148.71,2.81,-1.43,-0.8,0.52
20240123,000333,55.52,56.38,56.69,54.8,288485.0,1612570165.77,3.42,1.88,1.04,0.42
20240124,000333,56.15,57.19,57.44,56.02,264637.0,1503303922.9,2.52,1.44,0.81,0.38
20240125,000333,57.3,56.35,57.49,56.24,249636.0,1412367267.65,2.19,-1.47,-0.84,0.36
20240126,000333,56.35,57.51,57.75,56.35,327457.0,1874299632.73,2.48,2.06,1.16,0.47
20240129,000333,57.9,58.69,59.48,57.69,374987.0,2204469369.87,3.11,2.05,1.18,0.54
20240130,000333,58.7,58.22,59.2,58.0,273733.0,1604993046.2,2.04,-0.8,-0.47,0.4
