date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,600519,1748.78,1709.0,1748.88,1708.02,29903.0,5168983317.0,2.33,-2.38,-41.71,0.24
20231206,600519,1702.63,1703.0,1719.47,1701.13,23851.0,4078003022.0,1.07,-0.35,-6.0,0.19
20231207,600519,1704.0,1700.0,1709.08,1687.3,25042.0,4249170906.0,1.28,-0.18,-3.0,0.2
20231208,600519,1700.0,1704.92,1708.84,1692.22,26288.0,4474160126.0,0.98,0.29,4.92,0.21
20231211,600519,1690.0,1698.0,1704.0,1657.0,36831.0,6172810248.0,2.76,-0.41,-6.92,0.29
20231212,600519,1687.6,1709.99,1709.99,1684.0,21011.0,3564305866.0,1.53,0.71,11.99,0.17
20231213,600519,1705.22,1660.0,1705.72,1657.08,38789.0,6480807500.0,2.84,-2.92,-49.99,0.31
20231214,600519,1665.96,1635.9,1669.87,1635.02,40672.0,6703240107.0,2.1,-1.45,-24.1,0.32
20231215,600519,1648.23,1645.0,1677.77,1644.01,37093.0,6140791726.0,2.06,0.56,9.1,0.3
20231218,600519,1640.0,1662.0,1663.33,1635.0,19897.0,3292194757.0,1.72,1.03,17.0,0.16
20231219,600519,1665.0,1675.0,1679.87,1645.09,22207.0,3706057587.0,2.09,0.78,13.0,0.18
20231220,600519,1658.0,1649.79,1660.0,1643.0,23092.0,3816133219.0,1.01,-1.51,-25.21,0.18
20231221,600519,1640.01,1670.0,1672.32,1640.01,29012.0,4827827888.0,1.96,1.23,20.21,0.23
20231222,600519,1669.7,1670.65,1679.1,1658.01,21667.0,3613238325.0,1.26,0.04,0.65,0.17
20231225,600519,1671.0,1672.0,1678.6,1668.0,12471.0,2086014390.0,0.63,0.08,1.35,0.1
20231226,600519,1672.5,1670.0,1674.9,1657.5,14771.0,2457177339.0,1.04,-0.12,-2.0,0.12
20231227,600519,1668.0,1667.06,1677.15,1661.0,16056.0,2679221365.0,0.97,-0.18,-2.94,0.13
20231228,600519,1670.99,1724.99,1727.99,1667.06,38338.0,6537401380.0,3.65,3.47,57.93,0.31
20231229,600519,1720.0,1726.0,1749.58,1720.0,27539.0,4768857531.0,1.71,0.06,1.01,0.22
20240102,600519,1715.0,1685.01,1718.19,1678.1,32156.0,5440082548.0,2.32,-2.37,-40.99,0.26
20240103,600519,1681.11,1694.0,1695.22,1676.33,20229.0,3411400667.0,1.12,0.53,8.99,0.16
20240104,600519,1693.0,1669.0,1693.0,1662.93,21551.0,3603970147.0,1.78,-1.48,-25.0,0.17
20240105,600519,1661.33,1663.36,1678.66,1652.11,20243.0,3373155627.0,1.59,-0.34,-5.64,0.16
20240108,600519,1661.0,1643.99,1662.0,1640.01,25586.0,4211918629.0,1.32,-1.16,-19.37,0.2
20240109,600519,1641.01,1641.0,1652.32,1635.07,24412.0,4009826496.0,1.05,-0.18,-2.99,0.19
20240110,600519,1641.1,1641.5,1659.46,1638.0,17351.0,2856120718.0,1.31,0.03,0.5,0.14
20240111,600519,1640.1,1646.57,1657.94,1638.06,16441.0,2708764500.0,1.21,0.31,5.07,0.13
20240112,600519,1639.97,1643.06,1651.26,1639.4,11603.0,1908084612.0,0.72,-0.21,-3.51,0.09
20240115,600519,1635.0,1640.0,1654.97,1634.45,17854.0,2931202343.0,1.25,-0.19,-3.06,0.14
20240116,600519,1638.5,1639.43,1647.0,1624.94,25903.0,4236042960.0,1.35,-0.03,-0.57,0.21
