date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20240102,000001,9.39,9.21,9.42,9.21,1158366.0,1075742252.45,2.24,-1.92,-0.18,0.6
20240103,000001,9.19,9.2,9.22,9.15,733610.0,673673613.54,0.76,-0.11,-0.01,0.38
20240104,000001,9.19,9.11,9.19,9.08,864194.0,787470082.37,1.2,-0.98,-0.09,0.45
20240105,000001,9.1,9.27,9.44,9.07,1991622.0,1852659692.14,4.06,1.76,0.16,1.03
20240108,000001,9.23,9.15,9.3,9.11,1121156.0,1029006548.73,2.05,-1.29,-0.12,0.58
20240109,000001,9.16,9.18,9.19,9.09,766194.0,700375720.2,1.09,0.33,0.03,0.39
20240110,000001,9.16,9.09,9.19,9.09,858621.0,783771150.01,1.09,-0.98,-0.09,0.44
20240111,000001,9.08,9.17,9.22,9.03,934686.0,853890237.29,2.09,0.88,0.08,0.48
20240112,000001,9.13,9.19,9.27,9.11,772582.0,711018266.07,1.74,0.22,0.02,0.4
20240115,000001,9.16,9.21,9.29,9.13,745133.0,685950951.45,1.74,0.22,0.02,0.38
20240116,000001,9.19,9.34,9.35,9.16,1438313.0,1334465408.53,2.06,1.41,0.13,0.74
20240117,000001,9.33,9.23,9.39,9.23,1482296.0,1380725065.03,1.71,-1.18,-0.11,0.76
20240118,000001,9.21,9.2,9.24,9.0,1755132.0,1597853726.63,2.6,-0.33,-0.03,0.9
20240119,000001,9.16,9.17,9.2,9.1,963981.0,881865023.89,1.09,-0.33,-0.03,0.5
20240122,000001,9.16,9.1,9.26,9.04,1580320.0,1449858241.68,2.4,-0.76,-0.07,0.81
20240123,000001,9.05,9.16,9.18,8.96,1135545.0,1030898421.04,2.42,0.66,0.06,0.59
20240124,000001,9.23,9.33,9.34,9.07,1759123.0,1620099272.06,2.95,1.86,0.17,0.91
20240125,000001,9.33,9.5,9.54,9.27,2162514.0,2037648413.07,2.89,1.82,0.17,1.11
20240126,000001,9.47,9.62,9.67,9.44,2272287.0,2172799799.01,2.42,1.26,0.12,1.17
20240129,000001,9.69,9.7,9.88,9.58,2376252.0,2312173346.33,3.12,0.83,0.08,1.22
20240130,000001,9.61,9.5,9.7,9.49,1579122.0,1515156603.96,2.16,-2.06,-0.2,0.81
20240131,000001,9.46,9.46,9.56,9.38,1357217.0,1286857396.81,1.89,-0.42,-0.04,0.7
20240201,000001,9.41,9.41,9.48,9.34,1055260.0,993481907.01,1.48,-0.53,-0.05,0.54
20240202,000001,9.42,9.27,9.47,9.07,1634214.0,1520605694.69,4.25,-1.49,-0.14,0.84
20240205,000001,9.19,9.38,9.43,9.11,1803592.0,1674566499.46,3.45,1.19,0.11,0.93
20240206,000001,9.3,9.68,9.68,9.29,1995410.0,1900324218.2,4.16,3.2,0.3,1.03
20240207,000001,9.62,9.61,9.67,9.48,2062015.0,1975435102.12,1.96,-0.72,-0.07,1.06
20240208,000001,9.58,9.67,9.67,9.52,1656814.0,1593505690.13,1.56,0.62,0.06,0.85
20240219,000001,9.76,9.81,9.81,9.65,1605243.0,1564088444.93,1.65,1.45,0.14,0.83
20240220,000001,9.79,9.82,9.84,9.73,1123564.0,1098987813.26,1.12,0.1,0.01,0.58
20240221,000001,9.78,10.8,10.8,9.77,5055285.0,5295259396.81,10.49,9.98,0.98,2.61
20240222,000001,10.65,10.9,10.91,10.62,4922325.0,5307736374.06,2.69,0.93,0.1,2.54
20240223,000001,10.88,10.85,11.24,10.84,3567480.0,3917316281.52,3.67,-0.46,-0.05,1.84
20240226,000001,10.78,10.53,10.88,10.5,2862609.0,3048205024.78,3.5,-2.95,-0.32,1.48
20240227,000001,10.49,10.5,10.6,10.46,1981905.0,2083027074.06,1.33,-0.28,-0.03,1.02
20240228,000001,10.51,10.49,10.7,10.4,3082693.0,3253340358.41,2.86,-0.1,-0.01,1.59
20240229,000001,10.42,10.59,10.59,10.41,1845344.0,1936020982.56,1.72,0.95,0.1,0.95
20240301,000001,10.59,10.49,10.6,10.43,1828103.0,1917689306.77,1.61,-0.94,-0.1,0.94
20240304,000001,10.45,10.33,10.5,10.32,1655930.0,1719562862.03,1.72,-1.53,-0.16,0.85
20240305,000001,10.3,10.43,10.47,10.26,1817319.0,1889144330.16,2.03,0.97,0.1,0.94
20240306,000001,10.4,10.33,10.45,10.33,1345640.0,1396940060.42,1.15,-0.96,-0.1,0.69
20240307,000001,10.33,10.38,10.64,10.33,2016166.0,2109589237.19,3.0,0.48,0.05,1.04
20240308,000001,10.35,10.38,10.44,10.3,1113974.0,1154491251.23,1.35,0.0,0.0,0.57
