date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,688008,59.36,57.82,59.88,57.77,72520.0,425241855.0,3.54,-2.92,-1.74,0.64
20231206,688008,57.95,58.05,58.48,57.57,61087.0,355275964.0,1.57,0.4,0.23,0.54
20231207,688008,58.12,56.9,58.2,56.42,76502.0,436070963.0,3.07,-1.98,-1.15,0.67
20231208,688008,57.12,57.5,57.5,55.85,144268.0,817934351.0,2.9,1.05,0.6,1.27
20231211,688008,57.0,59.99,60.5,56.51,122210.0,716002664.0,6.94,4.33,2.49,1.07
20231212,688008,59.99,60.53,60.72,59.62,97812.0,589082423.0,1.83,0.9,0.54,0.86
20231213,688008,60.4,60.15,61.26,60.06,57349.0,347752307.0,1.98,-0.63,-0.38,0.5
20231214,688008,60.97,61.59,62.92,60.6,119957.0,740360504.0,3.86,2.39,1.44,1.05
20231215,688008,62.08,60.38,62.3,59.49,93322.0,562777076.0,4.56,-1.96,-1.21,0.82
20231218,688008,59.6,59.5,60.25,58.99,66657.0,396599368.0,2.09,-1.46,-0.88,0.59
20231219,688008,59.4,59.79,60.55,59.16,54879.0,328479345.0,2.34,0.49,0.29,0.48
20231220,688008,59.7,59.0,60.24,58.7,59420.0,352843977.0,2.58,-1.32,-0.79,0.52
20231221,688008,58.5,60.11,60.76,58.06,81612.0,488529557.0,4.58,1.88,1.11,0.72
20231222,688008,60.89,58.85,61.15,57.9,80550.0,475352730.0,5.41,-2.1,-1.26,0.71
20231225,688008,58.51,56.9,58.69,56.02,124136.0,703836215.0,4.54,-3.31,-1.95,1.09
20231226,688008,56.83,55.43,56.99,54.76,85619.0,476198255.0,3.92,-2.58,-1.47,0.75
20231227,688008,55.71,57.64,58.48,55.71,102060.0,587020748.0,5.0,3.99,2.21,0.9
20231228,688008,57.42,57.33,57.92,56.77,111938.0,641708235.0,2.0,-0.54,-0.31,0.98
20231229,688008,57.59,58.76,59.59,57.14,106214.0,623522170.0,4.27,2.49,1.43,0.93
20240102,688008,58.8,57.62,58.81,57.5,57424.0,332412514.0,2.23,-1.94,-1.14,0.5
20240103,688008,57.39,56.56,58.0,55.81,73931.0,420742687.0,3.8,-1.84,-1.06,0.65
20240104,688008,56.5,55.89,57.05,55.5,72073.0,403959707.0,2.74,-1.18,-0.67,0.63
20240105,688008,56.0,55.66,56.7,55.22,65363.0,366165293.0,2.65,-0.41,-0.23,0.57
20240108,688008,55.3,54.6,56.39,54.33,89019.0,489230249.0,3.7,-1.9,-1.06,0.78
20240109,688008,55.0,56.55,57.15,55.0,105167.0,594171439.0,3.94,3.57,1.95,0.92
20240110,688008,56.06,54.94,56.66,54.33,70077.0,387947076.0,4.12,-2.85,-1.61,0.62
20240111,688008,55.0,56.98,57.2,54.54,79789.0,447841714.0,4.84,3.71,2.04,0.7
20240112,688008,56.6,55.59,57.47,55.5,48826.0,274675412.0,3.46,-2.44,-1.39,0.43
20240115,688008,54.8,54.4,57.1,54.11,110040.0,612026887.0,5.38,-2.14,-1.19,0.97
20240116,688008,54.37,53.68,54.49,52.82,91534.0,489938525.0,3.07,-1.32,-0.72,0.8
20240117,688008,53.7,52.59,53.87,52.43,69046.0,367207210.0,2.68,-2.03,-1.09,0.61
20240118,688008,52.0,54.05,54.17,51.03,112241.0,586953428.0,5.97,2.78,1.46,0.99
20240119,688008,54.0,55.13,55.5,53.66,93446.0,511786507.0,3.4,2.0,1.08,0.82
20240122,688008,55.15,54.09,55.48,53.11,103934.0,567719653.0,4.3,-1.89,-1.04,0.91
20240123,688008,53.39,54.16,54.51,52.39,99039.0,532825230.0,3.92,0.13,0.07,0.87
20240124,688008,54.33,51.97,54.5,50.1,132364.0,684736426.0,8.12,-4.04,-2.19,1.16
20240125,688008,51.75,51.67,52.24,50.57,148896.0,763929795.0,3.21,-0.58,-0.3,1.31
20240126,688008,51.0,49.8,51.0,48.51,137428.0,685099900.0,4.82,-3.62,-1.87,1.21
20240129,688008,50.28,48.63,51.49,48.13,142389.0,699715216.0,6.75,-2.35,-1.17,1.25
