date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,601318,40.12,39.53,40.17,39.51,506428.0,2020199568.0,1.63,-2.11,-0.85,0.47
20231206,601318,39.5,39.53,39.75,39.29,433324.0,1713862406.0,1.16,0.0,0.0,0.4
20231207,601318,39.36,39.34,39.72,38.88,501004.0,1967357707.0,2.12,-0.48,-0.19,0.47
20231208,601318,39.25,39.19,39.63,39.19,378912.0,1491734069.0,1.12,-0.38,-0.15,0.35
20231211,601318,39.0,39.6,39.71,38.56,555114.0,2166289979.0,2.93,1.05,0.41,0.52
20231212,601318,39.42,39.79,39.81,39.25,358213.0,1419146471.0,1.41,0.48,0.19,0.33
20231213,601318,39.7,38.89,39.7,38.89,412856.0,1618686295.0,2.04,-2.26,-0.9,0.38
20231214,601318,39.23,38.7,39.47,38.69,332368.0,1297220103.0,2.01,-0.49,-0.19,0.31
20231215,601318,39.15,38.79,39.56,38.73,507912.0,1983188836.0,2.14,0.23,0.09,0.47
20231218,601318,38.4,38.61,38.85,38.31,329987.0,1273512227.0,1.39,-0.46,-0.18,0.31
20231219,601318,38.58,38.71,38.98,38.4,332249.0,1284615540.0,1.5,0.26,0.1,0.31
20231220,601318,38.71,38.45,38.9,38.43,299482.0,1158590096.0,1.21,-0.67,-0.26,0.28
20231221,601318,38.26,38.8,38.97,38.13,424163.0,1640116584.0,2.18,0.91,0.35,0.39
20231222,601318,38.76,39.1,39.38,38.68,424737.0,1656449050.0,1.8,0.77,0.3,0.39
20231225,601318,39.05,39.18,39.28,38.91,203255.0,795171658.0,0.95,0.2,0.08,0.19
20231226,601318,39.18,39.1,39.18,38.82,199146.0,776002047.0,0.92,-0.2,-0.08,0.19
20231227,601318,39.1,39.0,39.16,38.68,295938.0,1150904275.0,1.23,-0.26,-0.1,0.27
20231228,601318,39.0,40.26,40.35,38.85,609526.0,2429611850.0,3.85,3.23,1.26,0.57
20231229,601318,40.06,40.3,40.44,40.05,341078.0,1372848496.0,0.97,0.1,0.04,0.32
20240102,601318,40.3,39.47,40.31,39.46,437592.0,1740486365.0,2.11,-2.06,-0.83,0.41
20240103,601318,39.47,39.4,39.66,39.19,363822.0,1432855499.0,1.19,-0.18,-0.07,0.34
20240104,601318,39.36,38.9,39.58,38.66,467392.0,1819793957.0,2.34,-1.27,-0.5,0.43
20240105,601318,38.85,38.97,39.58,38.68,499202.0,1955115160.0,2.31,0.18,0.07,0.46
20240108,601318,38.97,38.45,39.17,38.22,514732.0,1983794142.0,2.44,-1.33,-0.52,0.48
20240109,601318,38.45,38.38,38.58,38.2,370651.0,1423188301.0,0.99,-0.18,-0.07,0.34
20240110,601318,38.29,37.82,38.45,37.82,441304.0,1677706638.0,1.64,-1.46,-0.56,0.41
20240111,601318,37.8,38.43,38.66,37.62,381571.0,1457906651.0,2.75,1.61,0.61,0.35
20240112,601318,38.19,38.03,38.54,38.03,303001.0,1158392103.0,1.33,-1.04,-0.4,0.28
20240115,601318,37.87,38.17,38.49,37.7,327022.0,1244858223.0,2.08,0.37,0.14,0.3
20240116,601318,38.04,38.7,38.76,37.94,544963.0,2095337501.0,2.15,1.39,0.53,0.51
20240117,601318,38.46,38.01,38.55,38.01,561229.0,2148072060.0,1.4,-1.78,-0.69,0.52
20240118,601318,37.75,38.99,39.03,37.64,861544.0,3289028901.0,3.66,2.58,0.98,0.8
20240119,601318,38.8,39.2,39.34,38.55,639744.0,2493579882.0,2.03,0.54,0.21,0.59
20240122,601318,39.07,39.48,39.93,38.97,961099.0,3800265431.0,2.45,0.71,0.28,0.89
20240123,601318,39.2,39.36,39.71,38.7,601721.0,2363927977.0,2.56,-0.3,-0.12,0.56
20240124,601318,39.66,40.17,40.3,39.08,761151.0,3023883703.0,3.1,2.06,0.81,0.71
20240125,601318,40.15,41.15,41.51,40.0,986581.0,4022141715.0,3.76,2.44,0.98,0.92
20240126,601318,41.05,41.25,41.34,40.65,785925.0,3225824129.0,1.68,0.24,0.1,0.73
20240129,601318,41.26,40.98,41.69,40.92,620785.0,2560232020.0,1.87,-0.65,-0.27,0.58
20240130,601318,40.6,40.19,40.91,40.17,570640.0,2308550033.0,1.81,-1.93,-0.79,0.53
20240131,601318,40.15,40.51,40.85,39.99,557014.0,2253897731.0,2.14,0.8,0.32,0.52
20240201,601318,40.12,40.3,40.63,39.93,490925.0,1980485849.0,1.73,-0.52,-0.21,0.46
20240202,601318,40.3,40.1,40.55,39.0,690773.0,2771398286.0,3.85,-0.5,-0.2,0.64
20240205,601318,40.0,40.68,40.99,39.68,806148.0,3247211014.0,3.27,1.45,0.58,0.75
20240206,601318,40.67,41.56,41.68,40.37,823835.0,3381216759.0,3.22,2.16,0.88,0.77
20240207,601318,41.69,42.38,42.4,41.35,916154.0,3833614844.0,2.53,1.97,0.82,0.85
20240208,601318,42.52,42.78,42.95,42.15,768747.0,3274133649.0,1.89,0.94,0.4,0.71
20240219,601318,42.99,42.73,43.08,42.52,544134.0,2324847504.0,1.31,-0.12,-0.05,0.51
20240220,601318,42.65,42.35,42.67,42.1,469355.0,1989976125.0,1.33,-0.89,-0.38,0.44
20240221,601318,42.18,43.59,44.3,42.02,1112492.0,4827664819.0,5.38,2.93,1.24,1.03
20240222,601318,43.36,43.7,43.74,43.21,517452.0,2252345680.0,1.22,0.25,0.11,0.48
20240223,601318,43.68,44.07,44.45,43.6,644217.0,2843810763.0,1.95,0.85,0.37,0.6
20240226,601318,43.9,42.95,43.91,42.9,616196.0,2667499279.0,2.29,-2.54,-1.12,0.57
20240227,601318,42.82,43.12,43.15,42.7,429013.0,1840668678.0,1.05,0.4,0.17,0.4
20240228,601318,43.19,42.65,43.28,42.65,535764.0,2298186002.0,1.46,-1.09,-0.47,0.5
20240229,601318,42.52,42.9,43.07,42.5,455092.0,1948642485.0,1.34,0.59,0.25,0.42
20240301,601318,42.8,42.99,43.09,42.52,445774.0,1908395624.0,1.33,0.21,0.09,0.41
20240304,601318,42.73,42.34,42.82,42.2,545047.0,2311470911.0,1.44,-1.51,-0.65,0.51
