date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,300750,160.15,158.81,162.37,158.65,248077.0,3978910664.0,2.3,-1.76,-2.84,0.64
20231206,300750,158.65,162.88,166.86,158.22,367693.0,6024339619.0,5.44,2.56,4.07,0.94
20231207,300750,162.0,164.49,166.36,161.6,269084.0,4410841808.0,2.92,0.99,1.61,0.69
20231208,300750,165.0,163.59,166.33,163.12,245020.0,4030383346.0,1.95,-0.55,-0.9,0.63
20231211,300750,162.01,165.35,165.69,160.16,214896.0,3497265739.0,3.38,1.08,1.76,0.55
20231212,300750,164.0,163.63,165.22,162.98,147339.0,2415527908.0,1.35,-1.04,-1.72,0.38
20231213,300750,162.55,159.35,163.59,158.71,252594.0,4045085653.0,2.98,-2.62,-4.28,0.65
20231214,300750,160.88,156.63,161.49,156.44,227514.0,3596263195.0,3.17,-1.71,-2.72,0.58
20231215,300750,157.2,155.0,158.68,154.6,202046.0,3158101585.0,2.6,-1.04,-1.63,0.52
20231218,300750,153.11,146.97,153.69,146.28,429129.0,6398809829.0,4.78,-5.18,-8.03,1.1
20231219,300750,146.31,149.0,149.98,146.27,251852.0,3734066912.0,2.52,1.38,2.03,0.65
20231220,300750,149.2,148.45,151.2,148.32,212494.0,3174602188.0,1.93,-0.37,-0.55,0.55
20231221,300750,147.57,154.39,155.33,147.57,421315.0,6433383992.0,5.23,4.0,5.94,1.08
20231222,300750,153.5,156.29,158.41,152.2,280321.0,4359921761.0,4.02,1.23,1.9,0.72
20231225,300750,155.5,157.54,157.88,154.8,130056.0,2036117775.0,1.97,0.8,1.25,0.33
20231226,300750,156.97,156.13,157.5,154.74,127673.0,1994477782.0,1.75,-0.9,-1.41,0.33
20231227,300750,157.53,154.33,158.0,153.87,173565.0,2686313989.0,2.65,-1.15,-1.8,0.45
20231228,300750,154.22,162.99,163.16,153.57,378502.0,6079407754.0,6.21,5.61,8.66,0.97
20231229,300750,163.98,163.26,165.0,162.0,226838.0,3707101874.0,1.84,0.17,0.27,0.58
20240102,300750,162.22,156.83,162.53,156.62,214033.0,3390080350.0,3.62,-3.94,-6.43,0.55
20240103,300750,156.1,155.8,157.28,154.4,197576.0,3070016674.0,1.84,-0.66,-1.03,0.51
20240104,300750,155.5,151.2,155.72,149.77,272418.0,4114835334.0,3.82,-2.95,-4.6,0.7
20240105,300750,150.99,150.9,154.73,149.49,210353.0,3195235676.0,3.47,-0.2,-0.3,0.54
