date,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
20231205,600036,28.06,27.51,28.07,27.5,618902.0,1717656519.0,2.03,-2.03,-0.57,0.3
20231206,600036,27.56,27.76,27.96,27.45,611259.0,1697947805.0,1.85,0.91,0.25,0.3
20231207,600036,27.77,27.81,27.94,27.29,594967.0,1643064047.0,2.34,0.18,0.05,0.29
20231208,600036,27.7,27.5,27.95,27.5,533498.0,1479206064.0,1.62,-1.11,-0.31,0.26
20231211,600036,27.25,27.76,27.85,26.9,758086.0,2067921108.0,3.45,0.95,0.26,0.37
20231212,600036,27.7,28.05,28.07,27.61,504201.0,1409339298.0,1.66,1.04,0.29,0.24
20231213,600036,27.92,27.22,27.92,27.2,671239.0,1844591027.0,2.57,-2.96,-0.83,0.33
20231214,600036,27.44,27.03,27.64,27.03,445268.0,1214879008.0,2.24,-0.7,-0.19,0.22
20231215,600036,27.47,27.23,28.05,27.2,980687.0,2697705037.0,3.14,0.74,0.2,0.48
20231218,600036,27.0,27.28,27.38,26.9,477164.0,1299068335.0,1.76,0.18,0.05,0.23
20231219,600036,27.2,27.29,27.35,27.02,376574.0,1024185206.0,1.21,0.04,0.01,0.18
20231220,600036,27.31,27.06,27.41,27.06,531128.0,1446520286.0,1.28,-0.84,-0.23,0.26
20231221,600036,26.98,27.71,27.75,26.92,759105.0,2082187758.0,3.07,2.4,0.65,0.37
20231222,600036,27.78,27.61,27.85,27.41,623644.0,1721377205.0,1.59,-0.36,-0.1,0.3
20231225,600036,27.6,27.53,27.72,27.42,419034.0,1154001375.0,1.09,-0.29,-0.08,0.2
20231226,600036,27.49,27.27,27.49,27.16,365257.0,997177589.0,1.2,-0.94,-0.26,0.18
20231227,600036,27.33,27.3,27.37,27.05,410637.0,1117439216.0,1.17,0.11,0.03,0.2
20231228,600036,27.25,27.99,28.13,27.25,1061063.0,2953200858.0,3.22,2.53,0.69,0.51
20231229,600036,27.9,27.82,28.05,27.77,655773.0,1827818811.0,1.0,-0.61,-0.17,0.32
20240102,600036,27.95,27.58,27.96,27.56,542195.0,1500865548.0,1.44,-0.86,-0.24,0.26
20240103,600036,27.58,27.77,27.84,27.52,433956.0,1200383624.0,1.16,0.69,0.19,0.21
20240104,600036,27.76,27.81,27.83,27.36,637102.0,1759101593.0,1.69,0.14,0.04,0.31
20240105,600036,27.75,28.29,28.78,27.62,1190633.0,3376466447.0,4.17,1.73,0.48,0.58
20240108,600036,28.17,28.13,28.59,27.95,816821.0,2305065736.0,2.26,-0.57,-0.16,0.4
20240109,600036,28.12,28.17,28.28,27.9,558663.0,1569684230.0,1.35,0.14,0.04,0.27
20240110,600036,28.02,28.05,28.35,28.02,453640.0,1277638873.0,1.17,-0.43,-0.12,0.22
20240111,600036,28.0,28.38,28.57,27.85,735318.0,2082611272.0,2.57,1.18,0.33,0.36
20240112,600036,28.26,28.54,28.78,28.26,577832.0,1652242626.0,1.83,0.56,0.16,0.28
20240115,600036,28.5,28.77,28.94,28.37,482452.0,1383953760.0,2.0,0.81,0.23,0.23
20240116,600036,28.63,29.13,29.13,28.6,853440.0,2469511282.0,1.84,1.25,0.36,0.41
20240117,600036,29.12,29.19,29.58,29.03,1308601.0,3843478823.0,1.89,0.21,0.06,0.63
20240118,600036,28.94,29.58,29.68,28.6,1295126.0,3762050846.0,3.7,1.34,0.39,0.63
20240119,600036,29.37,29.73,29.9,29.14,968616.0,2865398412.0,2.57,0.51,0.15,0.47
20240122,600036,29.76,30.25,30.5,29.7,1549703.0,4691297100.0,2.69,1.75,0.52,0.75
20240123,600036,30.01,29.99,30.35,29.8,886056.0,2661547376.0,1.82,-0.86,-0.26,0.43
20240124,600036,30.15,30.09,30.29,29.38,974892.0,2904947629.0,3.03,0.33,0.1,0.47
20240125,600036,30.31,30.9,31.0,30.18,1234509.0,3791899866.0,2.73,2.69,0.81,0.6
20240126,600036,30.92,31.12,31.35,30.66,1009916.0,3132788305.0,2.23,0.71,0.22,0.49
20240129,600036,31.2,31.35,31.6,31.17,838824.0,2632393040.0,1.38,0.74,0.23,0.41
20240130,600036,31.2,31.0,31.5,30.78,743999.0,2316762500.0,2.3,-1.12,-0.35,0.36
20240131,600036,30.92,30.71,31.19,30.59,808949.0,2494516011.0,1.94,-0.94,-0.29,0.39
